,Toponym Variant,Authority Name,MoEML @xml:id,Agas Map,All Variants (alternate names and variant spellings),Location category
99,Aldgate Ward,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
100,Aldgate ward,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
101,Aldgate warde,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
102,Aldgate warde,Aldgate Street,ALDG4,Agas Map,Aldegate | Aldgate | aldgate | Aldgate High Street | Aldgate Street | Aldgate ſtreet | Aldgate Street (without Aldgate) | Aldgate ſtreete | Aldgate warde | Ealdgate | Ealdgate ſtreete | Ealdgate Warde | high street,Streets
103,Aldgate Warde,Aldgate Ward,ALDG2,Agas Map,Aldegate | Aldegate ward | Aldegate warde | Aldegate Warde | Aldersgate Ward | Aldgate | Aldgate Ward | Aldgate ward | Aldgate warde | Aldgate Warde | Ealdegate | Ealdegate warde | Ealdgate | Ealdgate ward | Ealdgate Ward | Ealdgate Warde | Ealdgate warde,Wards
104,Aldmary church,St. Mary Aldermary,STMA29,Agas Map,"Aldemarie Church | Aldemary church | Aldermanbury church | Aldmary church | church of Aldmary | church of S. Mary at Oſney | pariſh Church of Aldermary | S. Mary Aldmary | St. Mary Aldermanbury Church | St. Mary Aldermary | St. Mary Aldermary Church | St. Mary, Aldermary",Churches
105,Aldreſgate,Aldersgate,ALDE3,Agas Map,Aldergate | Alderſgate | Aldersgate | Aldreſgate | gate,Gates
106,Algate,Aldgate,ALDG1,Agas Map,Ald-gate | Aldegate | Aldgate | Algate | Algegate | Ealdegate | Ealdgate | gate | Gate | Old-gate,Gates
107,Algegate,Aldgate,ALDG1,Agas Map,Ald-gate | Aldegate | Aldgate | Algate | Algegate | Ealdegate | Ealdgate | gate | Gate | Old-gate,Gates
108,Alhallowes,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
109,Alhallowes,All Hallows (Bread Street),ALLH3,Agas Map,"Alhallowes | All Hallows Church | All Hallows Watling Street | All Hallows, Bread Street | All Hallows’ Church, Bread/Watling Streets | church of Alhallowes in Bred ſtreet | church of Alhallowes in Bredſtreet | Church of All Hallows Bread Street | Lafullecherche",Churches
110,Alhallowes,All Hallows (Lombard Street),ALLH4,Agas Map,"Alhallowes | Alhallowes in Lombardeſtréete | All Hallows Church | All Hallows Gracechurch | All Hallows, Cornhill | All Hallows, Lombard Street | All Hallows’ Church, Lombard Street | church of Alhallowes in Lombard | Church of All Hallows Gracechurch",Churches
111,Alhallowes ad foenum,All Hallows the Less,ALLH7,Agas Map,"Alhallowes ad foenum | Alhallowes on the ſellers | Alhallowes pariſh the leſſe | Alhallowes the leſſe | All Hallows near the Ropery | All Hallows the Less | All Hallows upon the Cellar | Alſaints ad foenum | church of Alhallowes the leſſe | church of Alhallows | Church of All Hallows the Less | churchyard, of All ſaynts | leſſe | Pariſh of Alhallowes the leſſe | pariſh of All ſaints, the little",Churches
112,Alhallowes at barkynge,All Hallows Barking (Parish),ALLH102, ,Alhallowes at barkynge | Alhallowes Barking | All Hallows Barking parish,Parishes
113,Alhallowes Barking,All Hallows Barking (Parish),ALLH102, ,Alhallowes at barkynge | Alhallowes Barking | All Hallows Barking parish,Parishes
114,Alhallowes Barking,All Hallows Barking,ALLH2,Agas Map,Alhallowes Barking | All Hallows Barking | All Hallow’s Barking | Barking Alley | Barking chappell of our Ladie | Barking Church | Barking church | Barkingchurch | Barkyng | Church of Alhallowes Barking | Church of All Hallows Barking | College of Priests | kings Chappell of Barking | Pariſh of Alhallowes Barking | pariſh of Barking Church | St. Mary Barking Church | St. Mary Barkingchurch,Churches
115,Alhallowes Bredſtreet,All Hallows (Bread Street) (Parish),ALLH103, ,"Alhallowes Bredſtreet | Alhallowes in brede stret | All Hallows, Bread Street parish",Parishes
116,Alhallowes by the Wall,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
117,Alhallowes by the wall,All Hallows (London Wall) (Parish),ALLH101, ,"Alhallowes by the wall | All Hallows, London Wall parish | Allhallowes the wall",Parishes
118,Alhallowes Church,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
119,Alhallowes church,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
120,Alhallowes churchyard,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
121,Alhallowes Hay wharfe,All Hallows the Great,ALLH6,Agas Map,Alhallowes Hay wharfe | Alhallowes the greate | Alhallowes the more | Alhallows church | All Hallows at the Hay | All Hallows in the Ropery | All Hallows le grant | All Hallows Seaman’s Church | All Hallows the Great | All Hallows the More in Thames Street | All-hallowes | church of Alhallowes the more,Churches
122,Alhallowes in brede stret,All Hallows (Bread Street) (Parish),ALLH103, ,"Alhallowes Bredſtreet | Alhallowes in brede stret | All Hallows, Bread Street parish",Parishes
123,Alhallowes in Hony lane,All Hallows (Honey Lane),ALLH8, ,"Alhallowes in Hony lane | All Hallows, Honey Lane | church of Alhallowes Hony lane",Churches
124,Alhallowes in honye Lane,All Hallows (Honey Lane) (Parish),ALLH108, ,"Alhallowes in honye Lane | All Hallows, Honey Lane parish | Allhallowes Hony-Lane",Parishes
125,Alhallowes in Lombardeſtréete,All Hallows (Lombard Street),ALLH4,Agas Map,"Alhallowes | Alhallowes in Lombardeſtréete | All Hallows Church | All Hallows Gracechurch | All Hallows, Cornhill | All Hallows, Lombard Street | All Hallows’ Church, Lombard Street | church of Alhallowes in Lombard | Church of All Hallows Gracechurch",Churches
126,Alhallowes in Lvmbart strete,All Hallows (Lombard Street) (Parish),ALLH104, ,"Alhallowes in Lvmbart strete | All Hallows, Lombard Street parish | Allhallowes Lombarſtreet",Parishes
127,Alhallowes in the wall,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
128,Alhallowes in the Wall,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
129,Alhallowes on the ſellers,All Hallows the Less,ALLH7,Agas Map,"Alhallowes ad foenum | Alhallowes on the ſellers | Alhallowes pariſh the leſſe | Alhallowes the leſſe | All Hallows near the Ropery | All Hallows the Less | All Hallows upon the Cellar | Alſaints ad foenum | church of Alhallowes the leſſe | church of Alhallows | Church of All Hallows the Less | churchyard, of All ſaynts | leſſe | Pariſh of Alhallowes the leſſe | pariſh of All ſaints, the little",Churches
130,Alhallowes pariſh the leſſe,All Hallows the Less,ALLH7,Agas Map,"Alhallowes ad foenum | Alhallowes on the ſellers | Alhallowes pariſh the leſſe | Alhallowes the leſſe | All Hallows near the Ropery | All Hallows the Less | All Hallows upon the Cellar | Alſaints ad foenum | church of Alhallowes the leſſe | church of Alhallows | Church of All Hallows the Less | churchyard, of All ſaynts | leſſe | Pariſh of Alhallowes the leſſe | pariſh of All ſaints, the little",Churches
131,Alhallowes stanynges,All Hallows Staining (Parish),ALLH105, ,Alhallowes stanynges | Alhallowes ſtaynings | All Hallows Staining parish,Parishes
132,Alhallowes ſtaynings,All Hallows Staining (Parish),ALLH105, ,Alhallowes stanynges | Alhallowes ſtaynings | All Hallows Staining parish,Parishes
133,Alhallowes the Great,All Hallows the Great (Parish),ALLH106, ,Alhallowes the Great | Alhallowes the more | All Hallows the Great parish,Parishes
134,Alhallowes the greate,All Hallows the Great,ALLH6,Agas Map,Alhallowes Hay wharfe | Alhallowes the greate | Alhallowes the more | Alhallows church | All Hallows at the Hay | All Hallows in the Ropery | All Hallows le grant | All Hallows Seaman’s Church | All Hallows the Great | All Hallows the More in Thames Street | All-hallowes | church of Alhallowes the more,Churches
135,Alhallowes the Leſſe,All Hallows the Less (Parish),ALLH107, ,Alhallowes the Leſſe | All Hallows the Less parish | Allhallowes the Lesse,Parishes
136,Alhallowes the leſſe,All Hallows the Less,ALLH7,Agas Map,"Alhallowes ad foenum | Alhallowes on the ſellers | Alhallowes pariſh the leſſe | Alhallowes the leſſe | All Hallows near the Ropery | All Hallows the Less | All Hallows upon the Cellar | Alſaints ad foenum | church of Alhallowes the leſſe | church of Alhallows | Church of All Hallows the Less | churchyard, of All ſaynts | leſſe | Pariſh of Alhallowes the leſſe | pariſh of All ſaints, the little",Churches
137,Alhallowes the more,All Hallows the Great (Parish),ALLH106, ,Alhallowes the Great | Alhallowes the more | All Hallows the Great parish,Parishes
138,Alhallowes the more,All Hallows the Great,ALLH6,Agas Map,Alhallowes Hay wharfe | Alhallowes the greate | Alhallowes the more | Alhallows church | All Hallows at the Hay | All Hallows in the Ropery | All Hallows le grant | All Hallows Seaman’s Church | All Hallows the Great | All Hallows the More in Thames Street | All-hallowes | church of Alhallowes the more,Churches
139,Alhallows church,All Hallows the Great,ALLH6,Agas Map,Alhallowes Hay wharfe | Alhallowes the greate | Alhallowes the more | Alhallows church | All Hallows at the Hay | All Hallows in the Ropery | All Hallows le grant | All Hallows Seaman’s Church | All Hallows the Great | All Hallows the More in Thames Street | All-hallowes | church of Alhallowes the more,Churches
140,Alhallows Stane church,All Hallows Staining,ALLH5,Agas Map,Alhallows Stane church | Alhalowes Staning | All Hallows Staining | church of Alhallowes | church of Alhallowes Stane church | Church of All Hallows Staining | Stainingchurch | Stane church,Churches
141,Alhalowes Staning,All Hallows Staining,ALLH5,Agas Map,Alhallows Stane church | Alhalowes Staning | All Hallows Staining | church of Alhallowes | church of Alhallowes Stane church | Church of All Hallows Staining | Stainingchurch | Stane church,Churches
142,All Hallows,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
143,All Hallows at the Hay,All Hallows the Great,ALLH6,Agas Map,Alhallowes Hay wharfe | Alhallowes the greate | Alhallowes the more | Alhallows church | All Hallows at the Hay | All Hallows in the Ropery | All Hallows le grant | All Hallows Seaman’s Church | All Hallows the Great | All Hallows the More in Thames Street | All-hallowes | church of Alhallowes the more,Churches
144,All Hallows at the Wall,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
145,All Hallows at Wall,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
146,All Hallows Barking,All Hallows Barking,ALLH2,Agas Map,Alhallowes Barking | All Hallows Barking | All Hallow’s Barking | Barking Alley | Barking chappell of our Ladie | Barking Church | Barking church | Barkingchurch | Barkyng | Church of Alhallowes Barking | Church of All Hallows Barking | College of Priests | kings Chappell of Barking | Pariſh of Alhallowes Barking | pariſh of Barking Church | St. Mary Barking Church | St. Mary Barkingchurch,Churches
147,All Hallows Barking parish,All Hallows Barking (Parish),ALLH102, ,Alhallowes at barkynge | Alhallowes Barking | All Hallows Barking parish,Parishes
148,All Hallows by the Wall,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
149,All Hallows Church,All Hallows (Bread Street),ALLH3,Agas Map,"Alhallowes | All Hallows Church | All Hallows Watling Street | All Hallows, Bread Street | All Hallows’ Church, Bread/Watling Streets | church of Alhallowes in Bred ſtreet | church of Alhallowes in Bredſtreet | Church of All Hallows Bread Street | Lafullecherche",Churches
150,All Hallows Church,All Hallows (Lombard Street),ALLH4,Agas Map,"Alhallowes | Alhallowes in Lombardeſtréete | All Hallows Church | All Hallows Gracechurch | All Hallows, Cornhill | All Hallows, Lombard Street | All Hallows’ Church, Lombard Street | church of Alhallowes in Lombard | Church of All Hallows Gracechurch",Churches
151,All Hallows Coleman Church,St. Katherine Coleman,STKA1,Agas Map,All Hallows Coleman Church | All Saintes | Church of S. Katheren | Coleman | Coleman Church | Coleman haw | Pariſh church of S. Katherin Coleman | Pariſh of S. Katherine | S. Katerin colmans | S. Katheren Colman church | S. Katheren Colman Churth | S. Katherine Colman | Saint Katherines | St. Katharine Coleman | St. Katherine | St. Katherine and All Saints | St. Katherine Coleman | St. Katherine Coleman Street,Churches
152,All Hallows Fenchurch,St. Gabriel Fenchurch,STGA1,Agas Map,All Hallows Fenchurch | church of S. Mary & S. Gabriel | Church of St. Mary Fenchurch | Fan church | Fenchurch | S. Gabriel Fen church | S. Gabriel Fenchurch | S. Gabriell Fenchurch | St. Gabriel Fenchurch | St. Mary Fenchurch,Churches
153,All Hallows Gracechurch,All Hallows (Lombard Street),ALLH4,Agas Map,"Alhallowes | Alhallowes in Lombardeſtréete | All Hallows Church | All Hallows Gracechurch | All Hallows, Cornhill | All Hallows, Lombard Street | All Hallows’ Church, Lombard Street | church of Alhallowes in Lombard | Church of All Hallows Gracechurch",Churches
154,All Hallows in the Ropery,All Hallows the Great,ALLH6,Agas Map,Alhallowes Hay wharfe | Alhallowes the greate | Alhallowes the more | Alhallows church | All Hallows at the Hay | All Hallows in the Ropery | All Hallows le grant | All Hallows Seaman’s Church | All Hallows the Great | All Hallows the More in Thames Street | All-hallowes | church of Alhallowes the more,Churches
155,All Hallows Lane,Church Lane (All Hallows),CHUR9,Agas Map,All Hallows Lane | church lane | Church lane | Church Lane | Haywharf Lane,Streets
156,All Hallows le grant,All Hallows the Great,ALLH6,Agas Map,Alhallowes Hay wharfe | Alhallowes the greate | Alhallowes the more | Alhallows church | All Hallows at the Hay | All Hallows in the Ropery | All Hallows le grant | All Hallows Seaman’s Church | All Hallows the Great | All Hallows the More in Thames Street | All-hallowes | church of Alhallowes the more,Churches
157,All Hallows near London Wall,All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
158,All Hallows near the Ropery,All Hallows the Less,ALLH7,Agas Map,"Alhallowes ad foenum | Alhallowes on the ſellers | Alhallowes pariſh the leſſe | Alhallowes the leſſe | All Hallows near the Ropery | All Hallows the Less | All Hallows upon the Cellar | Alſaints ad foenum | church of Alhallowes the leſſe | church of Alhallows | Church of All Hallows the Less | churchyard, of All ſaynts | leſſe | Pariſh of Alhallowes the leſſe | pariſh of All ſaints, the little",Churches
